"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"National Council on Disability","Agency Overall","2024","6","4","0","12","0","0","0","0","0","0","0","1","23"
"National Aeronautics and Space Administration","Agency Overall","2024","122","247","45","207","23","49","33","188","19","32","405","89","1459"
"Export-Import Bank of the U.S.","Agency Overall","2024","27","32","9","76","1","0","1","12","0","0","0","1","159"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","3","10","1","12","0","1","0","29","0","13","0","0","69"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","2","3","0","11","0","3","0","0","25","5","3","0","52"
"Farm Credit System Insurance Corporation","Agency Overall","2024","12","10","0","31","0","0","0","0","0","0","0","0","53"
"United States International Boundary and Water Commission","Agency Overall","2024","8","6","0","11","0","0","0","0","0","0","0","0","25"
"Office of Management and Budget","Agency Overall","2024","86","67","4","187","3","50","0","16","1","73","6","0","493"
"National Capital Planning Commission","Agency Overall","2024","5","2","0","34","0","0","0","0","0","0","0","0","41"
"Central Intelligence Agency","Agency Overall","2024","136","79","767","440","11","14","1","543","478","0","88","46","2603"
"Merit Systems Protection Board","Agency Overall","2024","47","44","3","33","0","4","0","38","2","0","13","0","184"
"Council on Environmental Quality","Agency Overall","2024","22","19","2","63","0","32","0","14","11","33","1","151","348"
"Commodity Futures Trading Commission","Agency Overall","2024","42","53","20","51","2","4","0","20","92","17","115","14","430"
"National Indian Gaming Commission","Agency Overall","2024","19","11","1","50","0","1","0","0","1","0","0","0","83"
"United States African Development Foundation","Agency Overall","2024","1","0","0","6","0","0","0","0","0","0","0","0","7"
"Office of the United States Trade Representative","Agency Overall","2024","21","59","2","28","1","0","0","0","0","1","0","0","112"
"Social Security Administration","Agency Overall","2024","5470","2083","1970","1111","130","26","290","114","80","11","69","0","11354"
"Armed Forces Retirement Home","Agency Overall","2024","18","4","14","0","0","0","0","0","0","0","0","0","36"
"General Services Administration","Agency Overall","2024","204","343","13","356","6","174","84","157","34","125","58","78","1632"
"Department of the Interior","Agency Overall","2024","1665","1659","196","1701","93","608","111","205","208","111","304","1565","8426"
"Peace Corps","Agency Overall","2024","22","71","4","187","5","2","0","8","17","1","4","10","331"
"Department of Agriculture","Agency Overall","2024","12803","2440","163","2730","219","474","46","154","743","93","1189","59","21113"
"U.S. Agency for Global Media","Agency Overall","2024","28","58","4","89","0","3","0","5","0","1","3","0","191"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","5","11","0","31","0","1","0","2","0","2","0","0","52"
"U.S. Railroad Retirement Board","Agency Overall","2024","29","5","19","64","1","0","0","3","0","0","0","0","121"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","32","20","2","26","2","10","0","0","19","0","5","0","116"
"U.S. International Development Finance Corporation","Agency Overall","2024","5","27","0","7","0","1","0","4","1","0","0","0","45"
"All agencies","Agency Overall","2024","181574","563566","49972","373065","31841","31309","4843","15666","133537","35206","57289","21397","1499265"
