"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 7215(b)(5)","N/A","Certain information prepared or received by or specifically for the Public Company Accounting Oversight Board (PCAOB)","2"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 78m(h)(7)","N/A","Information and documents included in or filed with an application or registration statement, or annual reports filed, by issuers of security registered pursuant to 15 U.S.C. § 78l","1"
"Securities and Exchange Commission","Agency Overall","2024","Fed. R. Crim. P. Rule 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug. 16, 2016); Durham v. U.S. Att'y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","N/A","N/A","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","42 U.S.C. §§ 2000e-5(b), 2000e-8(e)","Frito-Lay v.EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am.Centennial Ins.Co. v.EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989).","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices","4332"
"Equal Employment Opportunity Commission","Agency Overall","2024","42 U.S.C. § 12117","N/A","Americans with Disabilities Act charges, conciliation materials, required reports, and case file information","1325"
"Equal Employment Opportunity Commission","Agency Overall","2024","42 U.S.C. § 2000ff-6","N/A","Information pertaining to charges of unlawful employment discrimination practices","1325"
"Equal Employment Opportunity Commission","Agency Overall","2024","8 U.S.C. § 1367","N/A","Penalties for disclosure of information.","189"
"Administrative Conference of the United States","Agency Overall","2024","N/A","N/A","N/A","0"
"Appraisal Subcommittee","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 US 159, 167 (1985).","Intelligence sources and methods","107"
"Office of the Director of National Intelligence","Agency Overall","2024","50 U.S.C. § 3507 (formerly at 50 U.S.C. §  403g)","Assassination Archives & Research Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency functions or employees, specifically: “the organization or functions of the Agency, or of the names, official titles, salaries, or numbers of personnel employed by the Agency""","149"
"Federal Trade Commission","Agency Overall","2024","15 U.S.C. § 18a(h)","N/A","Information submitted in connection with the premerger notification provisions of the HartScott-Rodino Antitrust Improvements Act of 1976","12"
"Federal Trade Commission","Agency Overall","2024","15 U.S.C. § 46(f)","Ctr. for Digit. Democracy v. FTC, 189 F. Supp. 3d 151, 158- 59 (D.D.C. 2016","“[A]ny trade secret or any commercial or financial information which is obtained from any person and which is privileged or confidential”","44"
"Federal Trade Commission","Agency Overall","2024","15 U.S.C. § 57b-2(f)","A. Michael’s Piano, Inc. v. FTC, 18 F.3d 138, 143-44 (2d Cir. 1994); Nat’l Educ. Ass’n v. FTC, No. 79-959-S, 1983 WL 1883, at *1 (D. Mass. Sept. 26, 1983).","Certain investigative materials received by the FTC and “provided pursuant to any compulsory process under this subchapter or which is provided voluntarily in place of such compulsory process”","103"
"Federal Trade Commission","Agency Overall","2024","21 U.S.C. § 355","N/A","Any information or documentary material that may have been filed pursuant to a pharmaceutical agreement notification","1"
"Department of Commerce","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","8"
"Department of Commerce","Agency Overall","2024","7 U.S.C. § 12 (a)(1)","Hunt v. Commodity Futures Trading Comm’n, 484 F. Supp. 47, 49 (D.D.C. 1979).","“[D]ata and information that would separately disclose the business transactions or market positions of any person and trade secrets or names of customers,” as well as certain other information concerning, or obtained in, the course of the Commission’s investigation under the Commodity Exchange Act”","2"
"Department of Commerce","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any members of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit” ","1"
"Department of Commerce","Agency Overall","2024","10 U.S.C. § 3309(b) (formerly at 10 U.S.C. § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-334, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","2"
"Department of Commerce","Agency Overall","2024","13 U.S.C. §§ 8(b), 9(a) ","Baldrige v. Shapiro, 455 U.S. 345, 354-55 (1982).","Certain census data","52"
"Department of Commerce","Agency Overall","2024","15 U.S.C. § 278k(j)(1)","N/A","Certain business information about participants or clients of a manufacturing extension center","1"
"Department of Commerce","Agency Overall","2024","15 U.S.C. § 3710a(c)","Pub. Citizen Health Rsch. Grp. v. NIH, 209 F. Supp. 2d 37, 43, 51 (D.D.C. 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F. Supp. 867, 871-72 (D. Me. 1996), appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).","""[T]rade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter,"" which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation","2"
"Department of Commerce","Agency Overall","2024","15 U.S.C. § 4652(a)(6)(G)","N/A","Information provided by covered entities for the fabrication, assembly, testing, advanced packaging, production, or research and development of semiconductors, materials used to manufacture semiconductors, or semiconductor manufacturing equipment","11"
"Department of Commerce","Agency Overall","2024","15 U.S.C. § 6801","Hodes v. HUD, 532 F. Supp. 2d 108, 117 (D.D.C. 2008).","Nonpublic personal information of customers of financial institutions","1"
"Department of Commerce","Agency Overall","2024","15 U.S.C. § 7306(d)","Quick v. U.S. Dep’t of Com., 775 F. Supp. 2d 174, 180-81 (D.D.C. 2011).","“[A]ny information...receive[d] in the course of an investigation under this chapter if the Director finds that the disclosure of that information might jeopardize public safety”","1"
"Department of Commerce","Agency Overall","2024","26 U.S.C. §§ 6103, 6105 ","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","1"
"Department of Commerce","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","“[C]onfidential dispute resolution communications”","1"
"Department of Commerce","Agency Overall","2024","35 U.S.C. § 122 ","Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C. Cir. 1979).","Applications for patents; certain information pertaining to applications for patents","13"
"Department of Commerce","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","28"
"Department of Commerce","Agency Overall","2024","50 U.S.C. § 4555(d) (formerly at 50 U.S.C. §2155(d))","N/A","Information obtained under the Defense Production Act of 1950 that the President deems confidential or the person furnishing such information requests confidential treatment of the information","1"
"Department of Commerce","Agency Overall","2024","50 U.S.C. § 4820(h)(1) (formerly at 50 U.S.C. § 4614(c)(1)) ","Wis. Project on Nuclear Arms Control v. U.S. Dep’t of Com., 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ’g Co. v. U.S. Dep’t of Com., 236 F.3d 1286, 1289-90 (11th Cir. 2001); Lessner v. U.S. Dep’t of Com., 827 F.2d 1333, 1336-37 (9th Cir. 1987).","Information pertaining to license applications under the Export Administration Act","18"
"Department of Commerce","Agency Overall","2024","Fed. R. Crim. P. 6(e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸ 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att’y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep’t of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Department of Housing and Urban Development","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att’y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O’Connor v. U.S. Dep’t of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008). ","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Department of Housing and Urban Development","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","3"
"Department of Housing and Urban Development","Agency Overall","2024","42 U.S.C. §3537a","        ","Covered information during the grant selection process","1"
"Department of Housing and Urban Development","Agency Overall","2024","42 U.S.C. § 3610(d)(4)","West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir. Mar. 6, 2007).","Records pertaining to conciliation of disputes regarding allegations of unfair housing practices; information derived from housing discrimination investigations and any final investigative reports pertaining to such investigations","16"
"Department of Housing and Urban Development","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","        ","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Department of Housing and Urban Development","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information      ","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","N/A","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","29 U.S.C. § 1310(c)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . section [1310 of title 29 of the United States Code]","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","29 U.S.C. § 1343(f)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . Section [1343 of title 29 of the United States Code]","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts
","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"United States Access Board","Agency Overall","2024","42 U.S.C. §§ 2000e-5(b), 2000e-8(e)","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997)); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989).","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices","1"
"Department of the Treasury","Agency Overall","2024","31 U.S.C. § 5319","Yunes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017); Council on Am.-Islamic Rels., Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff’d on other grounds, 288 F. App’x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","225"
"Department of the Treasury","Agency Overall","2024","50 U.S.C. § 3024(i)(l) (formerly at 50 U.S.C. § 403- 1(i)(1))"," CIA v. Sims, 471 U.S. 159, 167 (1985).       ","Intelligence sources and methods","1"
"Department of the Treasury","Agency Overall","2024","21 U.S.C. § 1904(e)(3)","N/A","Information related foreign narcotics traffickers","1"
"Department of the Treasury","Agency Overall","2024","10 USC § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).        ","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial- Intelligence Agency.","1"
"Department of the Treasury","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","3"
"Department of the Treasury","Agency Overall","2024","26 U.S.C. § 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. V. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’t of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties and certain tax convention information","1518"
"Department of the Treasury","Agency Overall","2024","Fed. R. Crim. P. 6 (e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸ 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curiam); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug. 16, 2016); Durham v. U.S. Att’y Gen., No. 06- 843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","8"
"Department of the Treasury","Agency Overall","2024","18 U.S.C. § 701","Jones v. IRS, No. 06-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Likeness of any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof","4"
"Department of the Treasury","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Certain contract proposals that are in the possession or control of an executive agency that have not been set forth or incorporated by reference into contracts","8"
"Department of the Treasury","Agency Overall","2024","31 USC 5323(g)(4)","N/A","Information which could reasonably be expected to reveal the identity of a whistleblower","3"
"Department of the Treasury","Agency Overall","2024","50 U.S.C. § 4565(c)(1)","Minor v. U.S. Dep’t of the Treasury, No. 20-02836, slip
op. at 5 (D.S.C. Aug. 5, 2021)
(unpublished disposition). ","Information or documentary material filed with the Committee on Foreign Investments in the United States","4"
"Department of Homeland Security","Agency Overall","2024","49 U.S.C. § 114 (r) (formerly at 49 U.S.C. § 114 (s))","Longas-Palacio v. USCIS, No. 21-2661, 2023 WL 2277128 (S.D. Tex. Feb. 28, 2023); Magassa v. TSA, No. 19-01953, 2022 WL 971207, at *5 (D.D.C Mar. 31, 2022); Skurow v. DHS, 892 F. Supp. 2d 319, 329- 30 (D.D.C. 2012); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","19566"
"Department of Homeland Security","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1"
"Department of Homeland Security","Agency Overall","2024","7 U.S.C. § 8791(b)(2)","Cent. Platte Nat. Res. Dist. v. U.S. Dep’t of Agric., 643 F.3d 1142, 1147-48 (8th Cir. 2011); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-38 (D.D.C. 2009).","“[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department” or “geospatial information . . . maintained by the Secretary about agricultural land or operations”","1"
"Department of Homeland Security","Agency Overall","2024","6 U.S.C. § 1504(d)(3)(8)","N/A","A cyber threat indicator or defensive measure shared with the federal government under the Cybersecurity Information Sharing Act of 2015","1"
"Department of Homeland Security","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","11"
"Department of Homeland Security","Agency Overall","2024","39 U.S.C. § 410(c)(2)","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05- 294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02-1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002). ","Commercial information which would not be disclosed under good business practice","1"
"Department of Homeland Security","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)(dictum).","Contractor bid or proposal information; source selection information","27"
"Department of Homeland Security","Agency Overall","2024","52 U.S.C. § 30109(a)(12)(A) (formerly at 2 U.S.C. § 437g(a)(12)(A)","Gov’t Accountability Project v. FDA, 206 F. Supp. 3d 420, 433 (D.D.C. 2016).","Any notification of investigation made under this section of the Federal Election Campaign Act pertaining to federal campaign funds","1"
"Department of Homeland Security","Agency Overall","2024","5 U.S.C. §§ 7114(b)(4), 7132","Dubin v. Dep’t of Treasury, 555 F. Supp. 408, 412 (N.D. Ga. 1981) (5 U.S.C. § 7114(b)(4)), aff’d, 697 F.2d 1093 (11th Cir. 1983) (unpublished table decision); NTEU v. OPM, No. 79-695, slip op. at 3-4 (D.D.C. July 9, 1979) (5 U.S.C. § 7114(b)(4) and 5 U.S.C. § 7132).","Certain labor relations training and guidance materials","1"
"Department of Homeland Security","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012). ","Confidential financial disclosure reports pertaining to certain government employees","2"
"Department of Homeland Security","Agency Overall","2024","50 U.S.C. § 3024(i)(1)","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","105"
"Department of Homeland Security","Agency Overall","2024","6 U.S.C. § 121(d)","N/A","Intelligence sources and methods","104"
"Department of Homeland Security","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att’y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O’Connor v. U.S. Dep’t of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings;","28"
"Department of Homeland Security","Agency Overall","2024","18 U.S.C. § 701","Jones v. IRS, No. 06-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Likeness of any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof ","1"
"Department of Homeland Security","Agency Overall","2024","18 U.S.C § 2510, et seq.","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 732-33 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","2"
"Department of Homeland Security","Agency Overall","2024","19 U.S.C. § 1677f ","Mudge Rose Gunthrie Alexander & Ferdon v. U.S. Int’l Trade Comm’n, 846 F.2d 1527, 1530- 31 (D.C. Cir. 1988).","Certain “information submitted to the administering authority or the [United States International Trade] Commission which is designated as proprietary by the person submitting the information” ","2"
"Department of Homeland Security","Agency Overall","2024","10 U.S.C. § 3309(b) (formerly at 10 U.S.C. § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011). ","Certain contractor proposals","2"
"Department of Homeland Security","Agency Overall","2024","8 U.S.C. § 1202(f)","Medina-Hincapie v. Dep’t of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); De Laurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep’t of State, No. 12-1111, 2014 WL 4704840, at *6-7 (S.D.N.Y. Sept. 19, 2014); Badalamenti v. U.S. Dep’t of State, 899 F. Supp. 542, 547 (D. Kan. 1995).  ","Certain records pertaining to the issuance or refusal of visas to enter the United States","41566"
"Department of Homeland Security","Agency Overall","2024","31 U.S.C. § 5319","Yunes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017); Council on Am.-Islamic Rels., Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff’d on other grounds, 288 F. App’x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","16"
"Department of Homeland Security","Agency Overall","2024","8 U.S.C. § 1367","N/A","Information that relates to an alien who is the beneficiary of certain applications for relief under the Immigration and Nationality Act","113"
