"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of Commerce","Agency Overall","2024","0","0","3","1","0","0","0","1","1","0","3"
"Department of Housing and Urban Development","Agency Overall","2024","8","12","2","1","0","10","0","4","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0","0","0","0","5","0","0","0","0","0"
"United States Access Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2024","14","5","3","1","1","9","7","3","0","2","1"
"Department of Homeland Security","Agency Overall","2024","28","1","49","2","742","541","23","422","16","4","1588"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2024","33","0","0","0","0","0","0","1","0","0","0"
"Environmental Protection Agency","Agency Overall","2024","7","0","4","2","0","0","2","4","0","1","79"
"Marine Mammal Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2024","7","3","48","4","1","16","0","20","2","1","54"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2024","3","21","2","5","2","7","1","0","0","0","18"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2024","1","0","0","1","0","0","0","0","0","0","1"
"National Railroad Passenger Corporation","Agency Overall","2024","4","0","7","0","1","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2024","2","2","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","1"
"Inter-American Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","5"
"Presidio Trust","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2024","42","1","18","4","50","33","3","3","3","29","0"
