"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","1","1","1","17","9","27.8","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","37","86","98.3","0","N/A","N/A","1","30","30"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","3","32","23","15","173","139","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2024","18","11.5","12.94","252","141.5","154.17","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2024","1992","78.00","69.99","283","51.00","119.99","7","77.00","113.86"
"United States Institute of Peace","Agency Overall","2024","64","41","95","3","304","277","0","N/A","N/A"
"National Mediation Board","Agency Overall","2024","1","2","2","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","N/A","N/A","139","731.5","486","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2024","1513","4436","4320","3561","5122","8470","33","528","591"
"Department of Education","Agency Overall","2024","321","418","482.99","3075","92","243.17","1","700","700"
"National Endowment for the Arts","Agency Overall","2024","35","10","10","1","6","6","0","N/A","N/A"
"National Council on Disability","Agency Overall","2024","2","223","157","40","123","102","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2024","80","12","28.9","52","17.5","46","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2024","5","9","74.2","38","134","202.47","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","89","87","196","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","73","184","200","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","1","31","31","0","N/A","N/A","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","110","232","154.34","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2024","850","106","281","198","169","454","16","215","234"
"National Capital Planning Commission","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2024","561","17","290.08","4927","460","662.71","6","981","799.83"
"Merit Systems Protection Board","Agency Overall","2024","36","155.5","148.94","112","415","487.67","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2024","55","165","190.73","43","41.5","140.90","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2024","0","0","0","18","45.5","84.94","0","0","0"
"National Indian Gaming Commission","Agency Overall","2024","0","N/A","N/A","4","238","241","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2024","20","173","145","12","173","115","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","7","16","21","32","72","74","0","N/A","N/A"
"Social Security Administration","Agency Overall","2024","933","3","5","756","19","44","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2024","419","43","109.55","110","122","205.06","6","514.5","514.5"
"Department of the Interior","Agency Overall","2024","2812","187","312.68","2085","264","463.19","50","417","622.52"
"Peace Corps","Agency Overall","2024","5","98","315","57","29","88.2","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2024","3927","179","176.58","690","177","291.3","19","13","70.68"
"U.S. Agency for Global Media","Agency Overall","2024","0","N/A","N/A","10","4","37","0","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","8","5","6.29","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2024","12","133.5","117.5","0","N/A","N/A","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","33","20","43","0","N/A","N/A","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2024","29","430","433.34","66","485","636.23","7","1130","1128.29"
"All agencies","Agency Overall","2024","186487","N/A","N/A","184432","N/A","N/A","1951","N/A","N/A"
