"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Science Foundation","Agency Overall","2024","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2024","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0","0","0","5","2","0","0","2","0","2","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2024","0","0","2","4","9","3","0","0","0","0","1","0","6","0"
"National Labor Relations Board","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2024","0","1","3","1","2","5","1","0","2","0","1","0","0","0"
"Department of Transportation","Agency Overall","2024","0","1","4","0","12","14","0","0","4","0","1","0","0","0"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2024","165","4","215","9","121","249","8","0","117","13","45","2","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2024","0","1","0","6","105","27","253","2","2","0","4","0","11","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","0","0","68","0","13","5","3","0","10","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","4","0","5","0","2","1","0","0","0","0","1","0","0","0"
"Federal Trade Commission","Agency Overall","2024","0","1","11","8","6","3","14","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2024","0","0","2","1","5","4","0","0","2","0","2","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2024","0","0","0","1","2","5","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2024","0","4","30","5","12","14","9","0","12","1","13","0","1","0"
"Department of Homeland Security","Agency Overall","2024","2","25","311","18","242","888","24","1","1045","3","1038","4","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2024","0","0","0","0","2","7","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2024","0","0","0","1","12","10","5","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2024","0","0","0","8","4","2","3","0","16","6","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2024","0","1","23","2","8","37","7","0","11","3","3","1","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
