"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Consumer Product Safety Commission","Agency Overall","2024","0","0","109","68","69","121","61","0","4","0","4","0","0","0"
"Presidio Trust","Agency Overall","2024","0","0","0","1","3","9","0","0","0","0","0","0","1","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","0","1","2","2","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2024","50","8","6041","44","154","920","11","1","154","16","106","7","1","0"
"Federal Housing Finance Agency","Agency Overall","2024","0","2","0","2","1","52","0","0","39","0","32","0","1","0"
"Small Business Administration","Agency Overall","2024","1","31","2","162","190","231","12","1","6","1","1","1","6","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","2","0","0","7","14","0","0","1","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2024","0","0","1","0","24","28","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","1","0","2","0","2","3","1","0","2","2","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2024","0","0","12","20","168","69","92","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2024","0","394","4533","232","1357","103081","157","39","2746","26","45","35","2","0"
"United States Institute of Peace","Agency Overall","2024","0","0","0","2","2","3","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2024","0","0","1","4","6","3","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","0","0","0","0","23","3","0","1","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2024","178","10","285","12","531","525","3","0","215","310","88","28","2","1"
"Department of Education","Agency Overall","2024","0","1","17","163","138","1473","765","1","1048","1","10","3","0","0"
"National Endowment for the Arts","Agency Overall","2024","0","0","2","13","3","21","0","2","1","0","0","0","0","0"
"National Council on Disability","Agency Overall","2024","0","0","0","0","2","4","0","0","0","0","0","0","0","0"
