Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Commodity Futures Trading Commission,Agency Overall,2019,49,15,12,8,4,4,3,3,3,2,10,7,0,120
Social Security Advisory Board,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Federal Retirement Thrift Investment Board,Agency Overall,2019,13,7,4,3,3,0,0,0,0,0,0,0,0,30
Office of Management and Budget,Agency Overall,2019,25,51,22,4,6,5,5,1,1,0,6,1,4,131
Environmental Protection Agency,Agency Overall,2019,3988,1190,275,145,117,79,84,54,75,65,207,183,108,6570
Federal Housing Finance Agency,Agency Overall,2019,83,3,0,2,0,0,0,0,0,0,0,0,0,88
Consumer Product Safety Commission,Agency Overall,2019,1,28,19,7,6,5,2,3,2,2,9,3,3,90
U.S. Interagency Council on Homelessness,Agency Overall,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,4
Office of National Drug Control Policy,Agency Overall,2019,43,0,0,0,0,0,0,0,0,0,0,0,0,43
Farm Credit System Insurance Corporation,Agency Overall,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,4
National Endowment for the Arts,Agency Overall,2019,31,14,6,0,0,0,0,0,0,0,0,0,0,51
National Mediation Board,Agency Overall,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,10
U.S. Agency for International Development,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
U.S. Election Assistance Commission,Agency Overall,2019,2,1,1,3,1,0,1,0,0,0,0,0,0,9
Occupational Safety and Health Review Commission,Agency Overall,2019,66,1,0,0,0,0,0,0,0,0,0,0,0,67
United States International Trade Commission,Agency Overall,2019,21,0,0,0,0,0,0,0,0,0,0,0,0,21
Social Security Administration,Agency Overall,2019,14235,235,36,24,11,17,3,9,1,4,8,1,0,14584
Department of Labor,Agency Overall,2019,3891,799,243,150,71,51,31,29,27,12,53,18,46,5421
Federal Mine Safety and Health Review Commission,Agency Overall,2019,56,0,0,0,0,0,0,0,0,0,0,0,0,56
Department of Defense,Agency Overall,2019,23898,1339,622,318,357,94,78,54,50,40,119,58,172,27199
Department of Justice,Agency Overall,2019,22301,14197,10507,4430,2310,1645,1277,840,659,523,999,236,511,60435
Office of the Director of National Intelligence,Agency Overall,2019,170,4,1,1,0,1,0,0,1,0,4,0,0,182
Court Services and Offender Supervision Agency,Agency Overall,2019,132,0,0,0,0,0,0,0,0,0,0,0,0,132
Department of the Treasury,Agency Overall,2019,2162,108,35,19,13,5,6,5,3,2,4,3,2,2367
U.S. Commission on Civil Rights,Agency Overall,2019,37,5,2,0,0,0,0,0,1,0,0,0,0,45
United States Postal Service,Agency Overall,2019,2212,170,31,4,4,3,0,1,0,0,1,0,1,2427
Department of the Interior,Agency Overall,2019,426,44,11,13,3,2,5,2,3,1,3,0,0,513
American Battle Monuments Commission,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
National Aeronautics and Space Administration,Agency Overall,2019,211,35,9,5,2,0,0,1,0,0,0,0,0,263
Office of Special Counsel,Agency Overall,2019,26,8,7,4,4,4,3,5,6,3,1,0,0,71
Federal Maritime Commission,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Privacy and Civil Liberties Oversight Board,Agency Overall,2019,17,0,0,0,0,0,0,0,0,0,0,0,0,17
Department of Agriculture,Agency Overall,2019,21306,710,348,252,192,128,103,81,68,59,251,184,345,24027
Farm Credit Administration,Agency Overall,2019,19,2,0,0,0,0,0,0,0,0,0,0,0,21
U.S. Department of State,Agency Overall,2019,62,69,37,16,7,4,2,1,1,1,2,2,11,215
Pension Benefit Guaranty Corporation,Agency Overall,2019,1052,81,4,0,2,1,0,0,0,0,0,0,0,1140
Council on Environmental Quality,Agency Overall,2019,60,10,2,3,0,0,2,1,0,0,2,3,0,83
Peace Corps,Agency Overall,2019,28,18,8,4,3,2,2,3,3,1,6,4,2,84
General Services Administration,Agency Overall,2019,502,1,0,0,0,0,0,0,0,0,1,0,0,504
Merit Systems Protection Board,Agency Overall,2019,75,1,0,0,0,0,1,0,0,0,0,0,0,77
Federal Communications Commission,Agency Overall,2019,391,100,7,1,1,0,0,0,0,0,0,0,0,500
Tennessee Valley Authority,Agency Overall,2019,120,0,0,0,0,0,0,0,0,0,0,0,0,120
Nuclear Regulatory Commission,Agency Overall,2019,189,42,32,17,13,8,1,9,2,1,6,1,2,323
Federal Energy Regulatory Commission,Agency Overall,2019,17,20,0,0,0,0,0,0,0,0,1,0,1,39
National Archives and Records Administration,Agency Overall,2019,63929,1209,300,102,64,58,50,21,34,4,24,13,696,66504
Gulf Coast Ecosystem Restoration Council,Agency Overall,2019,8,1,0,0,0,0,0,0,0,0,0,0,0,9
Department of Education,Agency Overall,2019,1180,118,1,1,0,1,1,1,0,0,1,0,3,1307
Department of Energy,Agency Overall,2019,591,225,162,80,49,52,26,22,25,21,95,62,51,1461
"National Commission on Military, National, and Public Service",Agency Overall,2019,22,4,2,1,0,0,0,0,0,0,0,0,0,29
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,4
United States Access Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Trade and Development Agency,Agency Overall,2019,6,0,1,2,5,1,0,0,0,0,0,0,1,16
Federal Open Market Committee,Agency Overall,2019,16,0,0,0,0,0,0,0,0,0,0,0,0,16
Department of Homeland Security,Agency Overall,2019,102711,24850,9388,8847,9105,6803,2724,1289,792,1153,1224,196,8782,177864
Federal Mediation and Conciliation Service,Agency Overall,2019,11,0,3,0,0,0,0,0,0,0,1,0,0,15
Defense Nuclear Facilities Safety Board,Agency Overall,2019,7,3,0,1,1,0,0,0,0,0,1,0,1,14
Department of Commerce,Agency Overall,2019,559,160,44,22,20,16,19,10,8,3,17,17,23,918
Inter-American Foundation,Agency Overall,2019,9,0,1,0,0,0,0,0,0,0,0,0,0,10
James Madison Memorial Fellowship Foundation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidio Trust,Agency Overall,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,5
National Endowment for the Humanities,Agency Overall,2019,44,2,2,0,0,0,0,0,0,0,0,0,0,48
Consumer Financial Protection Bureau,Agency Overall,2019,137,52,34,20,13,11,14,10,11,3,16,5,0,326
Advisory Council on Historic Preservation,Agency Overall,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,4
Federal Reserve System,Agency Overall,2019,228,24,10,4,1,1,0,0,0,0,1,0,0,269
Securities and Exchange Commission,Agency Overall,2019,8912,1625,398,168,109,69,56,43,44,11,25,8,3,11471
Appraisal Subcommittee,Agency Overall,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Office of the United States Trade Representative,Agency Overall,2019,76,16,7,3,2,3,1,0,0,0,0,0,0,108
United States International Boundary and Water Commission,Agency Overall,2019,29,6,7,6,0,1,1,1,0,1,2,0,0,54
Harry S. Truman Scholarship Foundation,Agency Overall,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Federal Trade Commission,Agency Overall,2019,804,34,14,3,3,1,1,0,0,0,0,0,0,860
National Science Foundation,Agency Overall,2019,52,6,1,1,0,0,2,1,0,0,0,4,2,69
Overseas Private Investment Corporation,Agency Overall,2019,26,5,6,4,8,1,0,1,0,0,0,0,0,51
U.S. Nuclear Waste Technical Review Board,Agency Overall,2019,7,2,0,0,0,0,0,0,0,0,0,0,0,9
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2019,1,4,1,0,0,0,0,0,0,2,0,0,0,8
United States African Development Foundation,Agency Overall,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Federal Labor Relations Authority,Agency Overall,2019,66,7,1,0,0,0,0,0,0,0,0,0,0,74
Equal Employment Opportunity Commission,Agency Overall,2019,12086,1878,915,890,687,420,276,265,136,118,460,25,46,18202
Office of Personnel Management,Agency Overall,2019,7386,27,6,4,3,1,2,0,0,3,5,4,20,7461
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2019,4,1,0,0,0,0,0,0,0,0,0,0,0,5
Institute of Museum and Library Services,Agency Overall,2019,44,2,0,0,0,0,0,0,0,0,0,0,0,46
United States Institute of Peace,Agency Overall,2019,3,0,0,0,1,0,0,0,0,0,0,0,0,4
National Indian Gaming Commission,Agency Overall,2019,32,0,0,0,0,0,0,0,0,0,0,0,0,32
Federal Election Commission,Agency Overall,2019,38,8,9,1,2,0,0,0,1,0,0,0,3,62
Commission of Fine Arts,Agency Overall,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,5
National Railroad Passenger Corporation,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Office of Science and Technology Policy,Agency Overall,2019,23,0,2,0,0,0,1,1,3,1,2,1,1,35
Denali Commission,Agency Overall,2019,3,1,0,0,0,0,0,0,0,0,0,0,0,4
United States Copyright Office,Agency Overall,2019,35,2,0,0,0,0,0,0,0,0,0,0,0,37
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2019,0,2,2,0,0,0,0,0,0,0,1,0,0,5
National Transportation Safety Board,Agency Overall,2019,63,24,12,5,2,4,1,1,1,1,9,2,54,179
Selective Service System,Agency Overall,2019,56,0,0,0,0,0,0,0,0,0,0,0,0,56
Office of Government Ethics,Agency Overall,2019,37,9,7,2,2,2,3,1,0,2,10,4,21,100
Export-Import Bank of the U.S.,Agency Overall,2019,32,3,4,2,0,0,0,0,0,0,0,0,0,41
Armed Forces Retirement Home,Agency Overall,2019,6,0,0,0,0,0,0,0,0,0,0,0,0,6
Department of Housing and Urban Development,Agency Overall,2019,803,270,100,57,30,18,12,10,12,10,34,26,53,1435
Administrative Conference of the United States,Agency Overall,2019,24,0,0,0,0,0,0,0,0,0,0,0,0,24
AmeriCorps,Agency Overall,2019,32,8,1,1,0,0,0,0,0,0,0,0,0,42
Federal Deposit Insurance Corporation,Agency Overall,2019,169,16,2,1,1,0,0,0,0,0,0,0,0,189
Central Intelligence Agency,Agency Overall,2019,298,56,32,24,8,0,0,0,0,0,0,0,0,418
Small Business Administration,Agency Overall,2019,556,120,58,19,11,3,12,5,2,2,3,1,0,792
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,13,1,0,1,0,0,0,0,0,0,0,0,0,15
National Labor Relations Board,Agency Overall,2019,860,147,72,36,22,20,20,12,7,8,35,18,15,1272
National Credit Union Administration,Agency Overall,2019,39,4,0,0,0,0,0,0,0,0,0,0,0,43
Department of Health and Human Services,Agency Overall,2019,5982,1110,680,639,503,528,450,589,731,438,787,40,43,12520
Department of Veterans Affairs,Agency Overall,2019,2885,9694,2332,538,432,431,261,303,185,160,315,249,890,18675
Department of Transportation,Agency Overall,2019,9173,1427,743,364,168,101,44,32,22,20,60,8,43,12205
National Council on Disability,Agency Overall,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,9
U.S. Railroad Retirement Board,Agency Overall,2019,90,7,1,2,1,0,0,0,0,1,0,2,5,109
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,22,3,0,0,0,0,0,0,0,0,0,0,0,25
Millennium Challenge Corporation,Agency Overall,2019,1,2,8,4,5,2,1,0,0,2,1,0,0,26
Legal Services Corporation,Agency Overall,2019,16,6,0,0,0,0,0,0,0,0,0,0,0,22
U.S. Agency for Global Media,Agency Overall,2019,9,17,15,2,8,3,1,2,1,6,4,1,0,69
Neighborhood Reinvestment Corporation,Agency Overall,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Marine Mammal Commission,Agency Overall,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3
National Capital Planning Commission,Agency Overall,2019,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Postal Regulatory Commission,Agency Overall,2019,14,0,0,0,0,0,0,0,0,0,0,0,0,14
Federal Labor Relations Authority,Agency Overall,2020,79,21,1,1,0,0,0,0,0,0,0,0,0,102
Federal Open Market Committee,Agency Overall,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,11
General Services Administration,Agency Overall,2020,521,25,0,4,1,2,0,3,2,1,0,2,1,562
Department of Agriculture,Agency Overall,2020,17425,723,594,272,216,153,107,308,242,77,196,85,375,20773
Pension Benefit Guaranty Corporation,Agency Overall,2020,1894,414,131,21,0,0,0,0,0,0,0,0,0,2460
Federal Energy Regulatory Commission,Agency Overall,2020,11,2,1,1,0,0,0,1,0,0,0,0,1,17
Commodity Futures Trading Commission,Agency Overall,2020,97,12,3,1,3,0,0,0,0,0,0,0,0,116
Armed Forces Retirement Home,Agency Overall,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Presidio Trust,Agency Overall,2020,13,0,0,0,0,0,0,0,0,0,0,0,0,13
Federal Reserve System,Agency Overall,2020,226,20,8,0,0,1,0,0,0,0,1,0,0,256
Consumer Financial Protection Bureau,Agency Overall,2020,158,32,0,1,0,0,0,0,0,0,0,0,0,191
Tennessee Valley Authority,Agency Overall,2020,149,38,4,0,0,1,0,0,0,0,0,0,0,192
Federal Financial Institutions Examination Council,Agency Overall,2020,8,2,0,0,0,0,0,0,0,0,0,0,0,10
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Consumer Product Safety Commission,Agency Overall,2020,62,10,12,3,6,4,1,1,1,0,8,10,17,135
Nuclear Regulatory Commission,Agency Overall,2020,139,33,8,3,2,0,0,0,0,0,0,0,1,186
Inter-American Foundation,Agency Overall,2020,7,1,0,0,0,0,0,0,0,0,0,0,0,8
United States International Boundary and Water Commission,Agency Overall,2020,22,5,7,1,2,1,0,1,1,0,0,0,0,40
Legal Services Corporation,Agency Overall,2020,10,3,0,0,0,0,0,0,0,0,0,0,0,13
National Security Commission on Artificial Intelligence,Agency Overall,2020,8,0,0,1,0,0,0,0,0,0,0,0,0,9
Department of Justice,Agency Overall,2020,22409,9930,6366,4190,3267,2350,1410,1119,1858,940,1934,895,873,57541
Office of Special Counsel,Agency Overall,2020,33,9,7,2,4,0,2,2,0,2,4,1,0,66
Federal Maritime Commission,Agency Overall,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,3
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Securities and Exchange Commission,Agency Overall,2020,11323,1060,354,132,89,75,51,32,19,18,58,17,6,13234
Department of Transportation,Agency Overall,2020,8490,947,320,185,447,444,621,564,246,54,132,50,127,12627
Department of the Interior,Agency Overall,2020,1796,552,248,180,128,100,79,54,53,48,176,104,133,3651
United States International Trade Commission,Agency Overall,2020,29,0,0,0,0,0,0,0,0,0,0,0,0,29
Department of Homeland Security,Agency Overall,2020,109429,25313,15441,10097,5622,3563,2213,1487,1084,991,2009,611,359,178219
Federal Retirement Thrift Investment Board,Agency Overall,2020,12,8,3,0,0,0,1,0,0,0,0,0,0,24
Denali Commission,Agency Overall,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,11
National Indian Gaming Commission,Agency Overall,2020,20,1,0,0,0,0,0,0,0,0,0,0,0,21
