Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Pension Benefit Guaranty Corporation,Agency Overall,2019,10,1.52,11.52
Council on Environmental Quality,Agency Overall,2019,0,1.5,1.5
Peace Corps,Agency Overall,2019,0,3.1,3.1
General Services Administration,Agency Overall,2019,13,27.56,40.56
Merit Systems Protection Board,Agency Overall,2019,1,0.85,1.85
Federal Communications Commission,Agency Overall,2019,6,9.96,15.96
Tennessee Valley Authority,Agency Overall,2019,1,0.25,1.25
Nuclear Regulatory Commission,Agency Overall,2019,8,0.0,8.0
Federal Energy Regulatory Commission,Agency Overall,2019,1,2.32,3.32
National Archives and Records Administration,Agency Overall,2019,0,55.9,55.9
Gulf Coast Ecosystem Restoration Council,Agency Overall,2019,2,0.0,2.0
Department of Education,Agency Overall,2019,16,37.64,53.64
Department of Energy,Agency Overall,2019,45,29.11,74.11
"National Commission on Military, National, and Public Service",Agency Overall,2019,0,0.5,0.5
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2019,0,1.0,1.0
United States Access Board,Agency Overall,2019,0,1.2,1.2
United States Trade and Development Agency,Agency Overall,2019,0,0.1,0.1
Federal Open Market Committee,Agency Overall,2019,0,0.58,0.58
Department of Homeland Security,Agency Overall,2019,446,161.64,607.64
Federal Mediation and Conciliation Service,Agency Overall,2019,0,2.0,2.0
Defense Nuclear Facilities Safety Board,Agency Overall,2019,0,0.5,0.5
Department of Commerce,Agency Overall,2019,32,33.44,65.44
Inter-American Foundation,Agency Overall,2019,0,0.2,0.2
James Madison Memorial Fellowship Foundation,Agency Overall,2019,0,0.1,0.1
Presidio Trust,Agency Overall,2019,0,0.05,0.05
National Endowment for the Humanities,Agency Overall,2019,0,1.25,1.25
Consumer Financial Protection Bureau,Agency Overall,2019,9,0.5,9.5
Advisory Council on Historic Preservation,Agency Overall,2019,0,0.6,0.6
Federal Reserve System,Agency Overall,2019,4,11.0,15.0
